Name,DisplayName,Default,,,Status,DependentServices
AarSvc_47e64,Agent Activation Runtime_47e64,,,,Stopped,
ALG,Application Layer Gateway Service,,,,Stopped,
AppIDSvc,Application Identity,,,,Stopped,applockerfltr
Appinfo,Application Information,,,,Running,
AppReadiness,App Readiness,,,,Stopped,
AppXSvc,AppX Deployment Service (AppXSVC),,,,Stopped,
ApxSvc,Windows Virtual Audio Device Proxy Service,,,,Stopped,
AudioEndpointBuilder,Windows Audio Endpoint Builder,,,,Running,AarSvc_47e64;RtkAudioUniversalService;AarSvc;Audiosrv
Audiosrv,Windows Audio,,,,Running,AarSvc_47e64;RtkAudioUniversalService;AarSvc
autotimesvc,Cellular Time,,,,Stopped,
AxInstSV,ActiveX Installer (AxInstSV),,,,Stopped,
BcastDVRUserService_47e64,GameDVR and Broadcast User Service_47e64,,,,Stopped,
BDESVC,BitLocker Drive Encryption Service,,,,Running,
BFE,Base Filtering Engine,,,,Running,ZTDNS;XboxNetApiSvc;webthreatdefsvc;wtd;WdNisSvc;WdNisDrv;SharedAccess;RemoteAccess;PolicyAgent;NcaSvc;mpssvc;IKEEXT
BITS,Background Intelligent Transfer Service,,,,Stopped,
BluetoothUserService_47e64,Bluetooth User Support Service_47e64,,,,Stopped,
BrokerInfrastructure,Background Tasks Infrastructure Service,,,,Running,workfolderssvc;WSearch;WSAIFabricSvc;TokenBroker;CDPSvc;NcbService;embeddedmode
BTAGService,Bluetooth Audio Gateway Service,,,,Stopped,
BthAvctpSvc,AVCTP service,,,,Stopped,
bthserv,Bluetooth Support Service,,,,Running,BluetoothUserService_47e64;BluetoothUserService
camsvc,Capability Access Manager Service,,,,Running,
CaptureService_47e64,CaptureService_47e64,,,,Stopped,
cbdhsvc_47e64,Clipboard User Service_47e64,,,,Running,
CDPSvc,Connected Devices Platform Service,,,,Running,
CDPUserSvc_47e64,Connected Devices Platform User Service_47e64,,,,Running,
CertPropSvc,Certificate Propagation,,,,Stopped,
ClipSVC,Client Licence Service (ClipSVC),,,,Stopped,
CloudBackupRestoreSvc_47e64,Cloud Backup and Restore Service_47e64,,,,Stopped,
COMSysApp,COM+ System Application,,,,Stopped,
ConsentUxUserSvc_47e64,ConsentUX User Service_47e64,,,,Stopped,
CoreMessagingRegistrar,CoreMessaging,,,,Running,camsvc
cplspcon,Intel(R) Content Protection HDCP Service,,,,Running,
CredentialEnrollmentManagerUserSvc_47e64,CredentialEnrollmentManagerUserSvc_47e64,,,,Stopped,
CryptSvc,Cryptographic Services,,,,Running,applockerfltr;AppIDSvc
DcomLaunch,DCOM Server Process Launcher,,,,Running,webthreatdefusersvc_47e64;PrintWorkflowUserSvc_47e64;P9RdrService_47e64;DevicesFlowUserSvc_47e64;DevicePickerUserSvc_47e64;DeviceAssociationBrokerSvc_47e64;CredentialEnrollmentManagerUserSvc_47e64;ConsentUxUserSvc_47e64;CaptureService_47e64;BluetoothUserService_47e64;BcastDVRUserService_47e64;ZTHELPER;XblGameSave;XblAuthManager;McmSvc;wlpasvc;WwanSvc;wuauserv;workfolderssvc;WSearch;wscsvc;WSAIFabricSvc;WpnService;WPDBusEnum;WManSvc;wlidsvc;WlanSvc;wisvc;WinRM;VMUSBArbService;VMAuthdService;Winmgmt;WinDefend;WiaRpc;whesvc;WFDSConMgrSvc;WEPHOSTSVC;webthreatdefusersvc;webthreatdefsvc;wcncsvc;icssvc;Wcmsvc;WbioSrvc;WaaSMedicSvc;VSS;vds;VaultSvc;UsoSvc;TokenBroker;UserManager;TroubleshootingSvc;TrkWks;TextInputManagementService;UmRdpService;TermService;RemoteAccess;RasMan;TapiSrv;refsdedupsvc;NaturalAuthentication;Schedule;SystemEventsBroker;SysMain;swprv;StiSvc;camsvc;AppXSvc;StateRepository;sppsvc;Spooler;SmsRouter;smphost;shpamsvc;ShellHWDetection;SessionEnv;SEMgrSvc;SecurityHealthService;SDRSVC;SCPolicySvc;MSDTC;LanmanServer;KtmRm;SamSs;RmSvc;RemoteRegistry;QWAVE;PushToInstall;Appinfo;ProfSvc;PrintWorkflowUserSvc;PrintScanBrokerService;PrintNotify;PrintDeviceConfigurationService;pla;PhoneSvc;PerfHost;perceptionsimulation;PcaSvc;P9RdrService;upnphost;SSDPSRV;NcdAutoSetup;netprofm;Netman;NcaSvc;XboxNetApiSvc;mpssvc;Netlogon;LanmanWorkstation;jhi_service;IpxlatCfgSvc;iphlpsvc;IKEEXT;WinHttpAutoProxySvc;Dnscache;Dhcp;nsi;NgcSvc;NgcCtnrSvc;NetSetupSvc;CDPSvc;NcbService;msiserver;MicrosoftEdgeElevationService;McpManagementService;MapsBroker;LSM;LocalKdc;lltdsvc;LicenseManager;lfsvc;dot3svc;EapHost;KeyIso;InventorySvc;InstallService;gpsvc;FrameServerMonitor;FrameServer;fhsvc;FDResPub;fdPHost;COMSysApp;SENS;EventSystem;EntAppSvc;EFS;edgeupdatem;edgeupdate;DusmSvc;DsmSvc;DoSvc;dmwappushservice;DmEnrollmentSvc;DispBrokerDesktopSvc;DiagTrack;diagsvc;DevicesFlowUserSvc;DevicePickerUserSvc;DeviceAssociationBrokerSvc;defragsvc;dcsvc;applockerfltr;AppIDSvc;CryptSvc;CredentialEnrollmentManagerUserSvc;CoreMessagingRegistrar;ConsentUxUserSvc;ClipSVC;CertPropSvc;CaptureService;BthAvctpSvc;BTAGService;embeddedmode;BrokerInfrastructure;BluetoothUserService;BITS;ZTDNS;wtd;WdNisSvc;WdNisDrv;SharedAccess;PolicyAgent;BFE;BcastDVRUserService;AxInstSV;autotimesvc;AarSvc_47e64;RtkAudioUniversalService;AarSvc;Audiosrv;ApxSvc;RpcSs
dcsvc,Declared Configuration(DC) service,,,,Stopped,
defragsvc,Optimise drives,,,,Stopped,
DeviceAssociationBrokerSvc_47e64,DeviceAssociationBroker_47e64,,,,Stopped,
DeviceAssociationService,Device Association Service,,,,Running,
DeviceInstall,Device Install Service,,,,Stopped,
DevicePickerUserSvc_47e64,DevicePicker_47e64,,,,Stopped,
DevicesFlowUserSvc_47e64,DevicesFlow_47e64,,,,Running,
DevQueryBroker,DevQuery Background Discovery Broker,,,,Running,
Dhcp,DHCP Client,,,,Running,WlanSvc;icssvc;Wcmsvc;NcaSvc;iphlpsvc;WinHttpAutoProxySvc
diagsvc,Diagnostic Execution Service,,,,Stopped,
DiagTrack,Connected User Experiences and Telemetry,,,,Running,
DispBrokerDesktopSvc,Display Policy Service,,,,Running,
DisplayEnhancementService,Display Enhancement Service,,,,Running,
DmEnrollmentSvc,Device Management Enrollment Service,,,,Stopped,
dmwappushservice,Device Management Wireless Application Protocol (WAP) Push message Routing Service,,,,Stopped,
Dnscache,DNS Client,,,,Running,WlanSvc;icssvc;Wcmsvc;NcaSvc;iphlpsvc;WinHttpAutoProxySvc
DolbyDAXAPI,Dolby DAX API Service,,,,Running,
DoSvc,Delivery Optimization,,,,Stopped,
dot3svc,Wired AutoConfig,,,,Stopped,
DPS,Diagnostic Policy Service,,,,Running,
dptftcs,Intel(R) Dynamic Tuning Technology Telemetry Service,,,,Running,
DsmSvc,Device Setup Manager,,,,Stopped,
DsSvc,Data Sharing Service,,,,Stopped,
DusmSvc,Data Usage,,,,Running,
EapHost,Extensible Authentication Protocol,,,,Stopped,dot3svc
edgeupdate,Microsoft Edge Update Service (edgeupdate),,,,Stopped,
edgeupdatem,Microsoft Edge Update Service (edgeupdatem),,,,Stopped,
EFS,Encrypting File System (EFS),,,,Stopped,
ElevocService,Elevoc Control Service,,,,Running,
embeddedmode,Embedded Mode,,,,Stopped,
EntAppSvc,Enterprise App Management Service,,,,Stopped,
EventLog,Windows Event Log,,,,Running,Wecsvc
EventSystem,COM+ Event System,,,,Running,COMSysApp;SENS
fdPHost,Function Discovery Provider Host,,,,Stopped,FDResPub
FDResPub,Function Discovery Resource Publication,,,,Stopped,
fhsvc,File History Service,,,,Stopped,
FontCache,Windows Font Cache Service,,,,Running,
FrameServer,Windows Camera Frame Server,,,,Stopped,
FrameServerMonitor,Windows Camera Frame Server Monitor,,,,Stopped,
GameInputSvc,GameInput Service,,,,Stopped,
gpsvc,Group Policy Client,,,,Running,
GraphicsPerfSvc,GraphicsPerfSvc,,,,Stopped,
hidserv,Human Interface Device Service,,,,Stopped,
hpatchmon,Hotpatch Monitoring Service,,,,Stopped,
HvHost,HV Host Service,,,,Running,
icssvc,Windows Mobile Hotspot Service,,,,Stopped,
igccservice,Intel(R) Graphics Command Center Service,,,,Running,
IKEEXT,IKE and AuthIP IPsec Keying Modules,,,,Stopped,XboxNetApiSvc
InstallService,Microsoft Store Install Service,,,,Running,
Intel(R) Platform License Manager Service,Intel(R) Platform License Manager Service,,,,Stopped,
InventorySvc,Inventory and Compatibility Appraisal service,,,,Running,
ipfsvc,Intel(R) Innovation Platform Framework Service,,,,Running,
iphlpsvc,IP Helper,,,,Running,NcaSvc
IpxlatCfgSvc,IP Translation Configuration Service,,,,Stopped,
jhi_service,Intel(R) Dynamic Application Loader Host Interface Service,,,,Running,
KeyIso,CNG Key Isolation,,,,Running,XboxNetApiSvc;dot3svc;EapHost
KtmRm,KtmRm for Distributed Transaction Coordinator,,,,Stopped,
LanmanServer,Server,,,,Running,
LanmanWorkstation,Workstation,,,,Running,SessionEnv;Netlogon
LenovoFnAndFunctionKeys,Lenovo Fn and function keys service,,,,Running,
lfsvc,Geolocation Service,,,,Running,
LibreOfficeMaintenance,LibreOffice Maintenance Service,,,,Stopped,
LicenseManager,Windows License Manager Service,,,,Running,
lltdsvc,Link-Layer Topology Discovery Mapper,,,,Stopped,
lmhosts,TCP/IP NetBIOS Helper,,,,Running,
LocalKdc,Kerberos Local Key Distribution Center,,,,Stopped,
LSM,Local Session Manager,,,,Running,
LxpSvc,Language Experience Service,,,,Stopped,
MapsBroker,Downloaded Maps Manager,,,,Stopped,
McmSvc,This service provides profile management for mobile connectivity modules,,,,Stopped,
McpManagementService,McpManagementService,,,,Stopped,
MDCoreSvc,Microsoft Defender Core Service,,,,Running,
MessagingService_47e64,MessagingService_47e64,,,,Stopped,
MicrosoftEdgeElevationService,Microsoft Edge Elevation Service (MicrosoftEdgeElevationService),,,,Stopped,
MozillaMaintenance,Mozilla Maintenance Service,,,,Stopped,
mpssvc,Windows Defender Firewall,,,,Running,XboxNetApiSvc
MSDTC,Distributed Transaction Coordinator,,,,Stopped,
MSiSCSI,Microsoft iSCSI Initiator Service,,,,Stopped,
msiserver,Windows Installer,,,,Stopped,
NaturalAuthentication,Natural Authentication,,,,Stopped,
NcaSvc,Network Connectivity Assistant,,,,Stopped,
NcbService,Network Connection Broker,,,,Running,CDPSvc
NcdAutoSetup,Network Connected Devices Auto-Setup,,,,Stopped,
Netlogon,Netlogon,,,,Stopped,
Netman,Network Connections,,,,Stopped,
netprofm,Network List Service,,,,Running,NcdAutoSetup
NetSetupSvc,Network Setup Service,,,,Stopped,
NetTcpPortSharing,Net.Tcp Port Sharing Service,,,,Stopped,
NgcCtnrSvc,Microsoft Passport Container,,,,Stopped,
NgcSvc,Microsoft Passport,,,,Stopped,
NlaSvc,Network Location Awareness,,,,Stopped,
NPSMSvc_47e64,Now Playing Session Manager Service_47e64,,,,Running,
nsi,Network Store Interface Service,,,,Running,WinRM;WlanSvc;icssvc;Wcmsvc;upnphost;SSDPSRV;NcdAutoSetup;netprofm;Netman;NcaSvc;XboxNetApiSvc;mpssvc;SessionEnv;Netlogon;LanmanWorkstation;jhi_service;IpxlatCfgSvc;iphlpsvc;IKEEXT;WinHttpAutoProxySvc;Dnscache;Dhcp
P9RdrService_47e64,P9RdrService_47e64,,,,Stopped,
PcaSvc,Program Compatibility Assistant Service,,,,Running,
PenService_47e64,PenService_47e64,,,,Stopped,
perceptionsimulation,Windows Perception Simulation Service,,,,Stopped,
PerfHost,Performance Counter DLL Host,,,,Stopped,
PhoneSvc,Phone Service,,,,Stopped,
PimIndexMaintenanceSvc_47e64,Contact Data_47e64,,,,Stopped,
pla,Performance Logs & Alerts,,,,Stopped,
PlugPlay,Plug and Play,,,,Running,
PolicyAgent,IPsec Policy Agent,,,,Stopped,
Power,Power,,,,Running,
PrintDeviceConfigurationService,Print Device Configuration Service,,,,Stopped,
PrintNotify,Printer Extensions and Notifications,,,,Stopped,
PrintScanBrokerService,PrintScanBrokerService,,,,Stopped,
PrintWorkflowUserSvc_47e64,PrintWorkflow_47e64,,,,Stopped,
ProfSvc,User Profile Service,,,,Running,XblGameSave;TokenBroker;UserManager;shpamsvc;NaturalAuthentication;Appinfo
PushToInstall,Windows PushToInstall Service,,,,Stopped,
QWAVE,Quality Windows Audio Video Experience,,,,Stopped,
RasAuto,Remote Access Auto Connection Manager,,,,Stopped,
RasMan,Remote Access Connection Manager,,,,Running,RemoteAccess
refsdedupsvc,ReFS Dedup Service,,,,Stopped,
RemoteAccess,Routing and Remote Access,,,,Stopped,
